##Service
"Odometer (km)","Date","Total cost","Type of service","Local service","Notes"
"7150","2019-04-24 12:00:08","50","Cleaning","",""
"7150","2019-04-24 12:00:08","475","Man-hours","",""
"7150","2019-04-24 12:00:08","278.32","Oil Change","",""
"7150","2019-04-24 12:00:08","81.95","Oil Filter","",""

